image,line_num,line_pos,text,auto_label,corrected_label
12.jpg,17,0.586,MCARD TEND 18.75,item,noise
12.jpg,18,0.621,ACCOUNT #3546,item,noise
12.jpg,19,0.655,APPROVAL #007190,item,noise
12.jpg,20,0.69,TRANS ID,metadata,noise
12.jpg,21,0.724,VALIDATION,item,noise
12.jpg,22,0.759,PAYMENT SERVICE,item,noise
12.jpg,23,0.793,CHANGE DUE 0.00,item,noise
12.jpg,24,0.828,# ITEMS SOLD 3,item,noise
12.jpg,25,0.862,TC# 9489 7094 6487 3073 3651,item,noise
12.jpg,26,0.897,Wal-Mart exclusive Eagles CD,item,noise
12.jpg,27,0.931,available October 30th!,item,noise
12.jpg,28,0.966,10/20/07 13:48:43,noise,date
12.jpg,29,1.0,***CUSTOMER COPY***,discount,noise
13.jpg,0,0.0,LD #: A1SWOY8KCW,item,noise
13.jpg,1,0.056,Walmart,header,header
13.jpg,2,0.111,Save money. Live better.,item,header
13.jpg,3,0.167,(843292 0362,noise,noise
13.jpg,4,0.222,MANAGER MICHAEL LREIGHARD,item,header
13.jpg,5,0.278,FLORENCE SC 29SOS 2014 S IRBY ST,item,header
13.jpg,6,0.333,51# 02703 0P# 009049 1E1 19 1R8 07142,item,header
13.jpg,7,0.389,GHFT CARD 08/458604333 50.000,item,item
13.jpg,8,0.444,SUBTOIAL TOIA 5000 50.00,item,noise
13.jpg,9,0.5,CASH CHANGE DUE IIND 10.000 60.00,metadata,noise
13.jpg,10,0.556,ACC0UN1613968545249/29 SHOP CARD ACTIVATION 50.00,item,noise
13.jpg,11,0.611,APPR CODI 192986,item,noise
13.jpg,12,0.667,REF #0083742,item,noise
13.jpg,13,0.722,Beg Bal 0.00 50.00 Fran Ami End Bal 50.00,metadata,noise
13.jpg,14,0.778,08/11/17 19:19:31,noise,date
13.jpg,15,0.833,1CH 9736 5895 9237 2333 1932,item,noise
13.jpg,16,0.889,Low Prices You Can Trust Eyery Day.,item,noise
13.jpg,17,0.944,08/11/17 19:22-40,noise,date
13.jpg,18,1.0,Store receipts on your mone. ay Walmart p,item,noise
14.jpg,0,0.0,UOY XHAHT,item,noise
14.jpg,1,0.022,See back of receipt for your chance,item,noise
14.jpg,2,0.044,to win $1000,item,noise
14.jpg,3,0.067,woH,noise,noise
14.jpg,4,0.089,ID : 7LORX4K8PJX,item,noise
14.jpg,5,0.111,RW00012,item,noise
14.jpg,6,0.133,bisaflig,item,noise
14.jpg,7,0.156,ola,noise,noise
14.jpg,8,0.178,Walmart,item,header
14.jpg,9,0.2,200,noise,noise
14.jpg,10,0.222,Save money. Live better.,item,header
14.jpg,11,0.244,( 937 ) 644 - 2800,noise,noise
14.jpg,12,0.267,MANAGER CHRISTOPHER WOOD,item,header
14.jpg,13,0.289,555 COLEMANS CROSSING BLVII,item,header
14.jpg,14,0.311,MARYSVILLE OH 43040,item,header
14.jpg,15,0.333,ST# 01595 0P# 007573 TE#_10 TR# 08890,item,header
14.jpg,16,0.356,3.88,noise,noise
14.jpg,17,0.378,EQUATE LINER 068113186503,item,item
14.jpg,18,0.4,VFUS SENG P0M 005100024543 F 7.48,item,item
14.jpg,19,0.422,DAWN N ORIG 003700011045 5.97,item,item
14.jpg,20,0.444,50YD PKGTAPE 007535307841 1.12,item,item
14.jpg,21,0.467,50YD PKGTAPE 007535307841 1.12,item,item
14.jpg,22,0.489,LINT ROLLER2 005114123488 5.78,item,item
14.jpg,23,0.511,SUBTOTAL 25.35,metadata,noise
14.jpg,24,0.533,7.000 % 1.25,item,noise
14.jpg,25,0.556,TAX,metadata,noise
14.jpg,26,0.578,TOTAL 26.60,metadata,noise
14.jpg,27,0.6,DEBIT TEND 26.60,metadata,noise
14.jpg,28,0.622,CHANGE DUE 0.00,item,noise
14.jpg,29,0.644,EFT DEBIT PAY FROM PRIMARY,metadata,noise
14.jpg,30,0.667,26.60 TOTAL PURCHASE,metadata,noise
14.jpg,31,0.689,ACCOUNT,item,noise
14.jpg,32,0.711,REF # 712400283994,item,noise
14.jpg,33,0.733,NETWORK ID. 0069 APPR CODE 8684813,item,noise
14.jpg,34,0.756,TERMINAL # SC010087,item,noise
14.jpg,35,0.778,05/04/17 19:54:16,noise,date
14.jpg,36,0.8,# ITEMS SOLD 6,item,noise
14.jpg,37,0.822,1061 368,noise,noise
14.jpg,38,0.844,TC# 7535 0523 2384,item,noise
14.jpg,39,0.867,05/04/17 19:54:18,noise,date
14.jpg,40,0.889,Store receipts on your phone. Walmart P,item,noise
14.jpg,41,0.911,ay.,noise,noise
14.jpg,42,0.933,otnebiaenlens,item,noise
14.jpg,43,0.956,reedoofundtig,item,noise
14.jpg,44,0.978,wawa.yune.www,item,noise
14.jpg,45,1.0,ert no.abha botion aoxstrasewe,item,noise
15.jpg,0,0.0,See back of receipt for your chance,item,noise
15.jpg,1,0.031,to win $1000,item,noise
15.jpg,2,0.062,ID : 7JYY2JWOK3Y,item,noise
15.jpg,3,0.094,Walmart,header,header
15.jpg,4,0.125,Save money. Live better.,item,header
15.jpg,5,0.156,"( 714 ),799 -0020",noise,noise
15.jpg,6,0.188,MANAGER YVONNE THOMAS,item,header
15.jpg,7,0.219,13331 BEACH BLVD,item,header
15.jpg,8,0.25,WESTMINSTER CA 92683,item,header
15.jpg,9,0.281,ST 02495 0P# 006969 TE#79 TR# 01526,item,header
15.jpg,10,0.312,DIABETES 068113131172H 12.58 N,item,item
15.jpg,11,0.344,SUBTOTAL 12.58,metadata,noise
15.jpg,12,0.375,TOTAL 12.58,metadata,noise
15.jpg,13,0.406,VISA TEND 1268,metadata,noise
15.jpg,14,0.438,Visa Credit *K** *N** *N** 3670 I1,metadata,noise
15.jpg,15,0.469,APPROVAL #222235,item,noise
15.jpg,16,0.5,REF620500604401,item,noise
15.jpg,17,0.531,TRANS IDU-56620513988406,metadata,noise
15.jpg,18,0.562,VALIDATION- 76LK,item,noise
15.jpg,19,0.594,PAYMENT SERVICE E,item,noise
15.jpg,20,0.625,AID A0000000031010,item,noise
15.jpg,21,0.656,TC 9E0FAC9A809E5D92,item,noise
15.jpg,22,0.688,TERMINAL # 281767447,item,noise
15.jpg,23,0.719,NO SIGNATURE REQUIRED,item,noise
15.jpg,24,0.75,07/22/16 20:53:11,noise,date
15.jpg,25,0.781,CHANGE DUE 0.00,item,noise
15.jpg,26,0.812,# ITEMS SOLD 1,item,noise
15.jpg,27,0.844,TC# 7503 0129 1089 7649 4115,item,noise
15.jpg,28,0.875,Low Prices You Can Trust. Every Day.,item,noise
15.jpg,29,0.906,07/22/16 20:53:11,noise,date
15.jpg,30,0.938,**#CUSTOMER COPY***,discount,noise
15.jpg,31,0.969,Savings Catcher! Scan with,item,noise
15.jpg,32,1.0,Walmart aPP,item,noise
16.jpg,0,0.0,See back of receipt for your chance,item,noise
16.jpg,1,0.029,to win $1000,item,noise
16.jpg,2,0.057,ID #: 7L2T9WJM25F,item,noise
16.jpg,3,0.086,Walmart,header,header
16.jpg,4,0.114,Save money. Live better.,item,header
16.jpg,5,0.143,( 701223 -3066,noise,noise
16.jpg,6,0.171,MANAGER TIM MORRIS,item,header
16.jpg,7,0.2,2717 ROCK ISLAND PL,item,header
16.jpg,8,0.229,BISMARCK ND 58504,item,header
16.jpg,9,0.257,ST# 01534 0P# 009048 TE# 48 TR# 04455,item,header
16.jpg,10,0.286,6 WING PLATE 020108870398 3.98 P,item,item
16.jpg,11,0.314,ASST 27 063099656595 4.88 X,item,item
16.jpg,12,0.343,CUTIE CAR 063099656644 12.88 X,item,item
16.jpg,13,0.371,SUBTOTAL 21.74,metadata,noise
16.jpg,14,0.4,TAX 1 6.500 % 1.15,metadata,noise
16.jpg,15,0.429,TAX 4 7.500 % 0.30,metadata,noise
16.jpg,16,0.457,TOTAL 23.19,metadata,noise
16.jpg,17,0.486,DEBIT TEND 23.19,metadata,noise
16.jpg,18,0.514,CHANGE DUE 0.00,item,noise
16.jpg,19,0.543,EFT DEBIT PAY FROM PRIMARY,metadata,noise
16.jpg,20,0.571,23.19 TOTAL PURCHASE,metadata,noise
16.jpg,21,0.6,US DEBIT xxxx xxxx xxxx 2696 I 0,metadata,noise
16.jpg,22,0.629,REF # 731700494718,item,noise
16.jpg,23,0.657,NETWORK ID. 0081 APPR CODE 936886,item,noise
16.jpg,24,0.686,US DEBIT,metadata,noise
16.jpg,25,0.714,AID A0000000980840,item,noise
16.jpg,26,0.743,TC 58B77239DA5B3B44,item,noise
16.jpg,27,0.771,*NO SIGNATURE REQUIRED,discount,noise
16.jpg,28,0.8,TERMINAL # SC011090,item,noise
16.jpg,29,0.829,11/13/17 12:34:04,noise,date
16.jpg,30,0.857,# ITEMS SOLD 3,item,noise
16.jpg,31,0.886,TC# 2188 7274 6444 1567 3762,item,noise
16.jpg,32,0.914,Low Prices You Can Trust. Every Day.,item,noise
16.jpg,33,0.943,11/13/17 12:34:11,noise,date
16.jpg,34,0.971,Store receipts on your phone. Walmart P,item,noise
16.jpg,35,1.0,ay.,noise,noise
17.jpg,0,0.0,See back of rece.pt for your chance,item,noise
17.jpg,1,0.024,to win $1000,item,noise
17.jpg,2,0.048,ID #: 7KZGF1SL2FF,item,noise
17.jpg,3,0.071,Walmart,header,header
17.jpg,4,0.095,Save money. Live better.,item,header
17.jpg,5,0.119,( 970 ) 259 -8755,noise,noise
17.jpg,6,0.143,MANAGER MIKE NEIDLINGER,item,header
17.jpg,7,0.167,1155 S CAMINO DEL RIO,item,header
17.jpg,8,0.19,DURANGO CO 81303,item,header
17.jpg,9,0.214,ST# 02270 0P# 000144 TE# 02 TR# 03080,item,header
17.jpg,10,0.238,BBANANAS 000000004011KI,item,item
17.jpg,11,0.262,1.75 1b 1 1b /0.54,item,weight
17.jpg,12,0.286,0.95 R,item,noise
17.jpg,13,0.31,BEVERAGE 003120002133 F,item,item
17.jpg,14,0.333,2.00 R,item,noise
17.jpg,15,0.357,OS CRAN POM 003120027015 F,item,item
17.jpg,16,0.381,2.00 R,item,noise
17.jpg,17,0.405,STRWBRYCC 076471782200 F,item,item
17.jpg,18,0.429,0.96 Y,item,noise
17.jpg,19,0.452,CAMPARI TOM 073447501213 I,item,item
17.jpg,20,0.476,2.98 R,item,noise
17.jpg,21,0.5,KFT SINGLES 002100061526 F,item,item
17.jpg,22,0.524,3.78 Y,item,noise
17.jpg,23,0.548,44500982114 004450098211 F,item,noise
17.jpg,24,0.571,3.98 Y,item,noise
17.jpg,25,0.595,020533960343 F,item,noise
17.jpg,26,0.619,HARD SALAMI 3.43 Y,item,item
17.jpg,27,0.643,AVOCADO 000000004046KI,item,item
17.jpg,28,0.667,4 AT1 FOR 0.44 1.76R,item,qty
17.jpg,29,0.69,PILLS WHITE 068113113619 F 1.00 Y,item,item
17.jpg,30,0.714,SH NYLON COL 007417024836 2.97 X,item,item
17.jpg,31,0.738,HAND CLEANER 004125100005 1.67 X,item,item
17.jpg,32,0.762,INJECTR CLNR 004980710003 8.87 X,item,item
17.jpg,33,0.786,SUBTOTAL 36.35,metadata,noise
17.jpg,34,0.81,TAX 1 7.900 % 1.07,metadata,noise
17.jpg,35,0.833,TTAX 2 5.000 % 1.14,metadata,noise
17.jpg,36,0.857,TX 66 2.900 % 0.12,item,noise
17.jpg,37,0.881,TOTAL 38.68,metadata,noise
17.jpg,38,0.905,CASH TEND 10.68,metadata,noise
17.jpg,39,0.929,CHANGE DUE 2.00,item,noise
17.jpg,40,0.952,# ITEMS SOLD 16,item,noise
17.jpg,41,0.976,TC# 3041 7466 0669 7952 272,item,noise
17.jpg,42,1.0,01/15/17 14:26:03,noise,date
18.jpg,0,0.0,Give us feedback  survey.walmart.com,header,header
18.jpg,1,0.017,Thank yOU! 1D #: 7OD137157NX5,item,noise
18.jpg,2,0.033,Walmart,header,header
18.jpg,3,0.05,863-318-0752 Mgr:MARK,item,header
18.jpg,4,0.067,7450 CYPRESS GARDENS BLVD,item,header
18.jpg,5,0.083,WINTER HAVEN FL 33884,item,header
18.jpg,6,0.1,ST# 03347 0P# 009036 TE# 36 TR# 05386,item,header
18.jpg,7,0.117,GV WATER 007874235191 F 0.98 N,item,item
18.jpg,8,0.133,GV WAIER 007874235191F 0.98 N,item,item
18.jpg,9,0.15,GREAT VALUE 2.84 N,item,item
18.jpg,10,0.167,007874206203 F,item,noise
18.jpg,11,0.183,GREAT VALUE 2.84 N,item,item
18.jpg,12,0.2,007874206203F,item,noise
18.jpg,13,0.217,GAIN LFE 6.97 X,item,item
18.jpg,14,0.233,003700077007,noise,noise
18.jpg,15,0.25,GAIN 4.94 X,item,item
18.jpg,16,0.267,003700076954,noise,noise
18.jpg,17,0.283,GV VEG OII 7.82 N,item,item
18.jpg,18,0.3,007874221000,noise,noise
18.jpg,19,0.317,SNICKER FS 3.78 X,item,item
18.jpg,20,0.333,004000050533,noise,noise
18.jpg,21,0.35,4.76 X,item,noise
18.jpg,22,0.367,GDBR FS 6PK 003400029305,item,item
18.jpg,23,0.383,13.24 X,item,noise
18.jpg,24,0.4,MIXED CHOC 004000047587,item,item
18.jpg,25,0.417,1.78 X,item,noise
18.jpg,26,0.433,CHERRIES 004326880002 F,item,item
18.jpg,27,0.45,1.97 X,item,noise
18.jpg,28,0.467,GAIN 003700082365,item,item
18.jpg,29,0.483,9.97 N,item,noise
18.jpg,30,0.5,HY RSTLEG PM 035497333521H,item,item
18.jpg,31,0.517,10.97 X,item,noise
18.jpg,32,0.533,BATTERIES 001280051783,item,item
18.jpg,33,0.55,2.97 X,item,noise
18.jpg,34,0.567,GV 20Z MINI 007874219999,item,item
18.jpg,35,0.583,1.58 0,noise,noise
18.jpg,36,0.6,CRNBRY SAUCE 003120001605 F,item,item
18.jpg,37,0.617,002740026499 F 3.46 0,item,noise
18.jpg,38,0.633,SPREADS,item,item
18.jpg,39,0.65,0.90 0,noise,noise
18.jpg,40,0.667,EGGS 6CT 007874212709 F,item,item
18.jpg,41,0.683,SUBTOTAL 82.75,metadata,noise
18.jpg,42,0.7,TAX 1 7.000 % 3.60,metadata,noise
18.jpg,43,0.717,TOTAL 86.35,metadata,noise
18.jpg,44,0.733,DEBIT TEND 86.35,metadata,noise
18.jpg,45,0.75,CHANGE DUE 0.00,item,noise
18.jpg,46,0.767,EFT DEBIT PAY FROM PRIMARY,metadata,noise
18.jpg,47,0.783,86.35 TOTAL PURCHASE,metadata,noise
18.jpg,48,0.8,FIFTHTHIRD DEBIT ** *XR* **** 9832 I 0,metadata,noise
18.jpg,49,0.817,REF # 130400725877,item,noise
18.jpg,50,0.833,NETWORK ID. 0076 APPR CODE 001740,item,noise
18.jpg,51,0.85,US Debit,metadata,noise
18.jpg,52,0.867,AIDA0000000042203,item,noise
18.jpg,53,0.883,AAC A8FABF3DOFD07485,item,noise
18.jpg,54,0.9,TERMINAL # SC011151,item,noise
18.jpg,55,0.917,10/31/21 10:08:22,noise,date
18.jpg,56,0.933,# ITEMS SOLD 18,item,noise
18.jpg,57,0.95,TC# 7563 1623 3938 0953 7373,item,noise
18.jpg,58,0.967,Low Prices You Can Trust. Every Day.,item,noise
18.jpg,59,0.983,10:08:26,noise,noise
18.jpg,60,1.0,10/31/21,noise,noise
19.jpg,0,0.0,ID #:7QDRJJ99F3X,item,noise
19.jpg,1,0.048,Thank you!,item,noise
19.jpg,2,0.095,Walmart,header,header
19.jpg,3,0.143,Mgr:EURIEL,item,header
19.jpg,4,0.19,2000 STATE ROAD 60 E,item,header
19.jpg,5,0.238,LAKE WALES FL 33898,item,header
19.jpg,6,0.286,ST# 00859 0P# 009026 TE# 26 TR# 02422,item,header
19.jpg,7,0.333,GRILL COVER 471288396027 14.97 X,item,item
19.jpg,8,0.381,FIBER CHOICE 036926600094 12.94 N,item,item
19.jpg,9,0.429,CELERY HEART 003338365301 F 2.48 N,item,item
19.jpg,10,0.476,000000004023KF,item,noise
19.jpg,11,0.524,RED GRAPE 1 lb /1.44 3.61 N,item,weight
19.jpg,12,0.571,2.51 1b SUBTOTAL 34.00,metadata,noise
19.jpg,13,0.619,TAX 1 7.000 % TOTAL 35.05 1.05,metadata,noise
19.jpg,14,0.667,SHOPPING CARD TEND CHANGE DUE 35.05 0.00,item,noise
19.jpg,15,0.714,SHOP. CARD REDEMPTION 35.05,item,noise
19.jpg,16,0.762,ACCOUNT **********x0246,item,noise
19.jpg,17,0.81,Beg Bal 157.29 Tran Amt 35.05 End Bal 122.24,metadata,noise
19.jpg,18,0.857,# ITEMS SOLD 4,item,noise
19.jpg,19,0.905,TC# 6949 6652 6669 8007 1705,item,noise
19.jpg,20,0.952,Low Prices You Can Trust. Every Day.,item,noise
19.jpg,21,1.0,10/16/21 11:22:45,noise,date
1.png,0,0.0,6418 Rea Road,item,header
1.png,1,0.021,South Charlotte NC 28277,item,header
1.png,2,0.042,Store #742 - (704) 543-5249,header,header
1.png,3,0.062,OPEN 8:00AM TO 9:00PM DAILY,header,header
1.png,4,0.083,BROWN RICE 2.99,item,item
1.png,5,0.104,FZN ORGANIC GREEN BEANS 2.29,item,item
1.png,6,0.125,PIE CRUSTS 3.99,item,item
1.png,7,0.146,BLUEBERRY WAFFLES 1.99,item,item
1.png,8,0.167,TAQUITOS BLACK BEAN & CHEESE 3.99,item,item
1.png,9,0.188,TEMPURA CHICKEN SWEET & SOUR 5.99,item,item
1.png,10,0.208,SWEET POTATO FRIES 1.99,item,item
1.png,11,0.229,ORGANIC SILVER DOLLAR PANCAKES 2.29,item,item
1.png,12,0.25,BREADED CHICKEN TENDERLOIN 7.99,item,item
1.png,13,0.271,SHREDDED SHARP CHEDDAR 3.99,item,item
1.png,14,0.292,YOGURT DRG VANILLA QUART WHOLE 3.49,item,item
1.png,15,0.312,MILK HALF GALLON WHOLE 1.79,item,item
1.png,16,0.333,SHREDDED MOZZARELLA 3.99,item,item
1.png,17,0.354,HOT DOG BEEF ORG APPLEGATE 100 5.99,item,item
1.png,18,0.375,BROCCOLI FLORETS 12 OZ 2.29,item,item
1.png,19,0.396,SALAD SW CHOPPED 13.6 OZ 3.29,item,item
1.png,20,0.417,MUSHROOMS WHITE BUTTON 10 OZ 4.58,item,item
1.png,21,0.438,20Z # 2.29/0Z,item,noise
1.png,22,0.458,SALAD SPINACH BABY 6 OZ 1.99,item,item
1.png,23,0.479,UNSWEETENED APPLE SAUCE 1.99,item,item
1.png,24,0.5,ORG VEGETARIAN CHILI 2.29,item,item
1.png,25,0.521,PIZZA SAUCE 1.99,item,item
1.png,26,0.542,TOMATO BASIL MARINARA 1.79,item,item
1.png,27,0.562,ORG KETCHUP 1.99,item,item
1.png,28,0.583,CUCUMBERS HOTHOUSE EACH 2.98,item,item
1.png,29,0.604,2EA @ 1.49/EA,qty,qty
1.png,30,0.625,BLACKBERRIES 12 OZ 3.99,item,item
1.png,31,0.646,EGGS LARGE WHITE DOZEN 2.78,item,item
1.png,32,0.667,2DZ @ 1.39/DZ,qty,qty
1.png,33,0.688,BANANA EACH 1.33,item,item
1.png,34,0.708,7EA 0.19/EA,item,qty
1.png,35,0.729,APPLE BAG ORG FUJI 2 LB 2.99,item,item
1.png,36,0.75,SALSA AUTENTICA 1.99,item,item
1.png,37,0.771,ORG VEGETARIAN CHILI 2.29,item,item
1.png,38,0.792,ORG BLACK BEANS 0.99,item,item
1.png,39,0.812,ORG APPLE SAUCE 4PK 1.99,item,item
1.png,40,0.833,PASTA ORG VEGETABLE RADIATORE 1.99,item,item
1.png,41,0.854,PEPPERS BELL TRICOLOR ORG 3 PK 4.49,item,item
1.png,42,0.875,ORG WHOLE WHEAT SPAGHETTI,item,item
1.png,43,0.896,CIABATTA DEMI BAGUETTE 1.49,item,item
1.png,44,0.917,ORGANIC CORN CHIP DIPPERS 1.29,item,item
1.png,45,0.938,WHOLE WHEAT PITA 1.99,item,item
1.png,46,0.958,1.49,noise,noise
1.png,47,0.979,SUBTOTAL,metadata,noise
1.png,48,1.0,STATE TAX 1 $109,metadata,noise
2.png,0,0.0,TRADERJOE'S,item,header
2.png,1,0.024,5473 E 82nd St,item,header
2.png,2,0.048,"Indianapolis, IN 46:",item,header
2.png,3,0.071,Store #192 - (317) 59!,header,header
2.png,4,0.095,OPEN 8:00AM TO 9:00PM DAI,header,header
2.png,5,0.119,PAR BAKED RUSTIC ROOLS 3.29,item,item
2.png,6,0.143,MEAL INSTANT RAMEN CUP MISO 1. 1.49,item,item
2.png,7,0.167,MEAL INSTANT RAMEN CUP MISO 1. 1.49,item,item
2.png,8,0.19,PLAIN BAGELS 1.99,item,item
2.png,9,0.214,PEANUT BUTTER CREAMY SALTED 1.99,item,item
2.png,10,0.238,MILK LACTOSE FREE HG WHOLE 3.79,item,item
2.png,11,0.262,ORANGE ORGANIC STRAWBERRY BANA 3.69,item,item
2.png,12,0.286,BANANA EACH 1.14,item,item
2.png,13,0.31,6EA @ 0.19/EA,qty,qty
2.png,14,0.333,SPREAD GARLIC 2.99,item,item
2.png,15,0.357,HUMMUS TOMATO BASIL 1.99,item,item
2.png,16,0.381,SALSA VERDE 1.99,item,item
2.png,17,0.405,SALSA VERDE 1.99,item,item
2.png,18,0.429,STRAWBERIES ORG 1 LB 5.99,item,item
2.png,19,0.452,PASTA RAV ITAL ARUG PARM REC 3.49,item,item
2.png,20,0.476,PASTA TORT CHSE 2.29,item,item
2.png,21,0.5,SLCD TURKEY BREAST OV RSTED LS 4.99,item,item
2.png,22,0.524,JUST MANGO SLICES 2.99,item,item
2.png,23,0.548,50% LESS SALT RS WHOLE CASHEWS 7.99,metadata,item
2.png,24,0.571,LOVERS BAR DK CHOC 85% 1.79,item,item
2.png,25,0.595,BAG FEE 0.10,item,noise
2.png,26,0.619,SUBTOTAL $57.46,metadata,noise
2.png,27,0.643,TOTAL $57.46,metadata,noise
2.png,28,0.667,VISA $57.46,metadata,noise
2.png,29,0.69,PURCHASE - APPROVED,metadata,noise
2.png,30,0.714,TOTAL: USD$ 57.46,metadata,noise
2.png,31,0.738,Entry Method:Cntctle,item,noise
2.png,32,0.762,CARD #: XXXXXXXXXXXX1039,metadata,noise
2.png,33,0.786,AUTH CODE: 08254I SEQ #: E,metadata,noise
2.png,34,0.81,ARC:,item,noise
2.png,35,0.833,TC: B71F0405BA03E962,item,noise
2.png,36,0.857,Ticket # 1200285024101s,item,noise
2.png,37,0.881,Trans ID:1832002850241E,metadata,noise
2.png,38,0.905,ITEMS 25,item,noise
2.png,39,0.929,01-28-2020 10:59AM 0183 05 5,item,date
2.png,40,0.952,THANK YOU FOR SHOPPING AT TRADER JOE',item,noise
2.png,41,0.976,www.traderjoes.com,item,noise
2.png,42,1.0,Check out our podcast,item,noise
3.png,0,0.0,EXPECT MORE. PAY LESS:,header,header
3.png,1,0.013,03/06/2016 05:25,header,date
3.png,2,0.025,PM,noise,noise
3.png,3,0.038,EXPIRES 06/04/16,header,header
3.png,4,0.051,CLEANING SUPPLIES,header,header
3.png,5,0.063,003050132,noise,noise
3.png,6,0.076,UPUP HOUSEH $1.94,item,item
3.png,7,0.089,GROCERY,header,header
3.png,8,0.101,071090012,noise,noise
3.png,9,0.114,OREO COOKIE FC $5.98,item,item
3.png,10,0.127,2 @ $2.99 ea,qty,qty
3.png,11,0.139,071200113 $5.89,noise,item
3.png,12,0.152,NATVAL ENER FC,item,item
3.png,13,0.165,071201388 $1.50,noise,item
3.png,14,0.177,MOTTS FRTSN FC,item,item
3.png,15,0.19,19273023 $0.50-,discount,noise
3.png,16,0.203,Cartwheel MfrCpn,discount,noise
3.png,17,0.215,071201388 $4.50,noise,item
3.png,18,0.228,MOTTS FRTSN FC,item,item
3.png,19,0.241,3 @ $1.50 ea,qty,qty
3.png,20,0.253,Saved $1.71 off_$6.21,discount,noise
3.png,21,0.266,203140116 V8 FC $4.19,item,item
3.png,22,0.278,210110240 OSCAR MAYER FC $2.50,item,item
3.png,23,0.291,210110375 OSCAR MAYE FC $3.07,item,item
3.png,24,0.304,Cartwheel 15% off $3.62,discount,noise
3.png,25,0.316,211080156 NAKED FC $2.50,item,item
3.png,26,0.329,211124798 TOMATO $0.99,item,item
3.png,27,0.342,211214061 LETTUCE 1.49,item,item
3.png,28,0.354,212040401 KC MASTERPC 3.39,item,item
3.png,29,0.367,212080427 MARKET PANT $3.29,item,item
3.png,30,0.38,212140031 BC SDNLY SL FC $1.72,item,item
3.png,31,0.392,Cartwheel 10% off $1.92,discount,noise
3.png,32,0.405,261011548 PEPPERIDGE FC $2.99,item,item
3.png,33,0.418,261090048 SMUCKERS FC $2.09,item,item
3.png,34,0.43,268050036 JENNIE-0 FC,item,item
3.png,35,0.443,$2.99,noise,noise
3.png,36,0.456,270020350 LEAN CUISIN FC $2.45,item,item
3.png,37,0.468,Cartwheel 15% off $2.89,discount,noise
3.png,38,0.481,270021296 LEAN CUISIN FC $2.14,item,item
3.png,39,0.494,270021326 LEAN CUISIN FC $2.89,item,item
3.png,40,0.506,270021477 LEAN CUISIN FC $2.45,item,item
3.png,41,0.519,Cartwheel 15% off $2.89,discount,noise
3.png,42,0.532,270110029 EVOL FC $5.59,item,item
3.png,43,0.544,Cartwheel 30% off $7.99,discount,noise
3.png,44,0.557,270110217 BIRD SUBB FC $4.09,item,item
3.png,45,0.57,284031157 MP EGGS FC $1.89,item,item
3.png,46,0.582,Cartwheel 5% off $1.99,discount,noise
3.png,47,0.595,284050033 REDDI WIP FC $3.72,item,item
